,Date,Time,Wellside Pressure,Measured Density,Slurry Rate,Pump Time
137,9/10/2020,5:40:39,8300.9012697,0.0,49.094925,2.283333333333333
138,9/10/2020,5:40:40,8300.6657226,0.0,49.120971999999995,2.3
139,9/10/2020,5:40:41,8305.7704101,0.0,49.251202,2.316666666666667
140,9/10/2020,5:40:42,8318.1647457,0.0,49.251202,2.3333333333333335
141,9/10/2020,5:40:43,8296.9145505,0.0,49.329334,2.35
142,9/10/2020,5:40:44,8307.5625,0.0,49.407471,2.3666666666666667
143,9/10/2020,5:40:45,8302.609863,0.0,49.381423999999996,2.3833333333333333
144,9/10/2020,5:40:46,8308.605762000001,0.0,49.355373,2.4
145,9/10/2020,5:40:47,8305.191210600002,0.0,49.355373,2.4166666666666665
146,9/10/2020,5:40:48,8318.2166019,0.0,49.381423999999996,2.433333333333333
147,9/10/2020,5:40:49,8321.3534178,0.0,49.225147,2.45
148,9/10/2020,5:40:50,8306.709960600001,0.0,48.990749,2.466666666666667
149,9/10/2020,5:40:51,8295.6041019,0.0,48.990749,2.4833333333333334
150,9/10/2020,5:40:52,8277.8141601,0.0,48.860519000000004,2.5
151,9/10/2020,5:40:53,8277.1637697,0.0,48.834476,2.5166666666666666
152,9/10/2020,5:40:54,8265.0919923,0.0,48.782383,2.533333333333333
153,9/10/2020,5:40:55,8257.7663082,0.0,48.626114,2.55
154,9/10/2020,5:40:56,8253.7549803,0.0,48.547977,2.566666666666667
155,9/10/2020,5:40:57,8240.3226558,0.000611,48.417755,2.5833333333333335
156,9/10/2020,5:40:58,8248.512304799999,0.0,48.339619,2.6
157,9/10/2020,5:40:59,8244.677637,0.002381,48.261482,2.6166666666666667
158,9/10/2020,5:41:00,8246.1875976,0.002381,48.261482,2.6333333333333333
159,9/10/2020,5:41:01,8245.319238,0.0,48.365665,2.65
160,9/10/2020,5:41:02,8252.9024418,0.0,48.469848999999996,2.6666666666666665
161,9/10/2020,5:41:03,8241.8501952,0.0,48.574024,2.683333333333333
162,9/10/2020,5:41:04,8241.404589900001,0.000676,48.574024,2.7
163,9/10/2020,5:41:05,8243.4840822,0.0,48.600071,2.716666666666667
164,9/10/2020,5:41:06,8244.1854495,0.0,48.75634,2.7333333333333334
165,9/10/2020,5:41:07,8249.4184572,0.0,48.626114,2.75
166,9/10/2020,5:41:08,8255.840625,0.000124,48.574024,2.7666666666666666
167,9/10/2020,5:41:09,8251.2386721,0.000124,48.574024,2.783333333333333
168,9/10/2020,5:41:10,8260.1323245,0.001929,48.574024,2.8
